n,r,m
(:Person {id: Marie Curie}),[:NATIONALITY],(:Nationality {id: Polish})
(:Person {id: Marie Curie}),[:NATIONALITY],(:Nationality {id: French})
(:Person {id: Marie Curie}),[:NATIONALITY],(:Nationality {id: Naturalised-French})
(:Person {id: Marie Curie}),[:OCCUPATION],(:Occupation {id: Physicist})
(:Person {id: Marie Curie}),[:OCCUPATION],(:Occupation {id: Chemist})
(:Person {id: Marie Curie}),[:RESEARCH_FIELD],(:Field {id: Radioactivity})
(:Person {id: Marie Curie}),[:AWARDEE],(:Award {id: Nobel Prize})
(:Person {id: Marie Curie}),[:PROFESSOR],(:Organization {id: University Of Paris})
(:Person {id: Marie Curie}),[:AWARD_WINNER],(:Award {id: Nobel Prize})
(:Person {id: Marie Curie}),[:AWARD],(:Award {id: Nobel Prize})
(:Person {id: Marie Curie}),[:RESEARCH_AREA],(:Researcharea {id: Radioactivity})
(:Person {id: Marie Curie}),[:RESEARCH_AREA],(:Research area {id: Radioactivity})
(:Person {id: Marie Curie}),[:FIELD_OF_STUDY],(:Field {id: Radioactivity})
(:Person {id: Marie Curie}),[:FIELD_OF_STUDY],(:Field_of_study {id: Radioactivity})
(:Person {id: Marie Curie}),[:AWARD_RECEIVED],(:Award {id: Nobel Prize})
(:Person {id: Pierre Curie}),[:AWARDEE],(:Award {id: Nobel Prize})
(:Person {id: Pierre Curie}),[:AWARD_WINNER],(:Award {id: Nobel Prize})
(:Person {id: Pierre Curie}),[:AWARD],(:Award {id: Nobel Prize})
(:Person {id: Pierre Curie}),[:AWARD_RECEIVED],(:Award {id: Nobel Prize})
(:Concept {id: Thorium-Based Nuclear Power}),[:USES],(:Chemical {id: Uranium-233})
(:Concept {id: Thorium-Based Nuclear Power}),[:USES],(:Element {id: Thorium})
(:Person {id: Ralph W. Moir}),[:RESEARCHED],(:Concept {id: Thorium-Based Nuclear Power})
(:Person {id: Edward Teller}),[:RESEARCHED],(:Concept {id: Thorium-Based Nuclear Power})
(:Organization {id: Georgia Institute Of Technology}),[:ASSESSED],(:Concept {id: Thorium-Based Nuclear Power})
(:Country {id: United States}),[:BUILT],(:Technology {id: Msre Reactor})
(:Technology {id: Msre Reactor}),[:LOCATED_AT],(:Organization {id: Oak Ridge National Laboratory})
(:Person {id: Glenn Seaborg}),[:CHAIRMAN],(:Organization {id: Atomic Energy Commission})
(:Person {id: Alvin Weinberg}),[:DIRECTOR],(:Organization {id: Oak Ridge National Laboratory})
(:Person {id: Chet Holifield}),[:CONFRONTED],(:Person {id: Alvin Weinberg})
(:Organization {id: Bhabha Atomic Research Centre}),[:LOCATED_IN],(:Country {id: India})
(:Organization {id: Bhabha Atomic Research Centre}),[:HEADQUARTERED_IN],"(:Location {id: Trombay, Mumbai, Maharashtra})"
(:Organization {id: Bhabha Atomic Research Centre}),[:OPERATES_UNDER],(:Organization {id: Department Of Atomic Energy})
(:Organization {id: Bhabha Atomic Research Centre}),[:HAS_FACILITY],"(:Location {id: Challakere, Chitradurga District, Karnataka})"
(:Organization {id: Bhabha Atomic Research Centre}),[:HAS_FACILITY],"(:Location {id: Atchutapuram, Visakhapatnam, Andhra Pradesh})"
(:Organization {id: Bhabha Atomic Research Centre}),[:CONSTRUCTING],(:Facility {id: Special Mineral Enrichment Facility})
(:Organization {id: Bhabha Atomic Research Centre}),[:RENAMED_ON],(:Date {id: 22 January 1967})
(:Person {id: Homi Jehangir Bhabha}),[:FOUNDED],"(:Organization {id: Atomic Energy Establishment, Trombay})"
(:Person {id: Homi Jehangir Bhabha}),[:SENT_PROPOSAL_TO],(:Organization {id: Sir Dorabji Tata Trust})
(:Person {id: Homi Jehangir Bhabha}),[:SENT_PROPOSAL_ON],(:Date {id: March 1944})
"(:Organization {id: Atomic Energy Establishment, Trombay})",[:FOUNDED_ON],(:Date {id: January 1954})
"(:Organization {id: Atomic Energy Establishment, Trombay})",[:ESTABLISHED_ON],(:Date {id: 3 January 1954})
(:Organization {id: Department Of Atomic Energy}),[:OVERSEEN_BY],(:Position {id: Prime Minister Of India})
(:Process {id: Nuclear Fission}),[:USES],(:Concept {id: Nuclear Fuels})
(:Process {id: Nuclear Fission}),[:USES],(:Concept {id: Nuclear Reactor})
(:Process {id: Nuclear Fission}),[:SPLITS],(:Concept {id: Atom Nucleus})
(:Process {id: Nuclear Fission}),[:PRODUCES],(:Concept {id: Smaller Nuclei})
(:Process {id: Nuclear Fission}),[:PRODUCES],(:Concept {id: Gamma Photons})
(:Process {id: Nuclear Fission}),[:PRODUCES],(:Concept {id: Nuclear Power})
(:Process {id: Nuclear Fission}),[:PRODUCES],(:Concept {id: Nuclear Waste})
(:Process {id: Nuclear Fission}),[:RELEASES],(:Concept {id: Energy})
(:Process {id: Nuclear Fission}),[:RELEASES],(:Concept {id: Electromagnetic Radiation})
(:Process {id: Nuclear Fission}),[:RELEASES],(:Concept {id: Kinetic Energy})
(:Process {id: Nuclear Fission}),[:ENABLES],(:Concept {id: Nuclear Chain Reaction})
(:Process {id: Nuclear Fission}),[:IS_A_FORM_OF],(:Process {id: Nuclear Transmutation})
(:Process {id: Nuclear Fission}),[:INCLUDES],(:Concept {id: Binary Fissions})
(:Process {id: Nuclear Fission}),[:INCLUDES],(:Concept {id: Ternary Fission})
(:Process {id: Nuclear Fission}),[:DRIVES],(:Concept {id: Nuclear Weapons})
(:Person {id: Otto Hahn}),[:DISCOVERED],(:Process {id: Nuclear Fission})
(:Person {id: Fritz Strassmann}),[:DISCOVERED],(:Process {id: Nuclear Fission})
(:Person {id: Lise Meitner}),[:EXPLAINED],(:Process {id: Nuclear Fission})
(:Person {id: Otto Robert Frisch}),[:EXPLAINED],(:Process {id: Nuclear Fission})
(:Person {id: Otto Robert Frisch}),[:NAMED],(:Process {id: Nuclear Fission})
(:Process {id: Spontaneous Fission}),[:IS_A_FORM_OF],(:Process {id: Nuclear Fission})
(:Person {id: Flyorov}),[:DISCOVERED],(:Process {id: Spontaneous Fission})
(:Person {id: Petrzhak}),[:DISCOVERED],(:Process {id: Spontaneous Fission})
(:Person {id: Kurchatov}),[:DISCOVERED],(:Process {id: Spontaneous Fission})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Process {id: Nuclear Fission})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Substance {id: Demineralized Water})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Machine {id: Steam Turbine})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Machine {id: Condenser})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Machine {id: Feedwater Heaters})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Machine {id: Jet Pumps})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USES],(:Machine {id: Internal Recirculation Pumps})
(:Nuclear reactor {id: Boiling Water Reactor}),[:INSTANCE_OF],(:Nuclear reactor type {id: Light Water Nuclear Reactor})
(:Nuclear reactor {id: Boiling Water Reactor}),[:USED_FOR],(:Process {id: Electrical Power Generation})
(:Nuclear reactor {id: Boiling Water Reactor}),[:DEVELOPED_BY],(:Organization {id: Argonne National Laboratory})
(:Nuclear reactor {id: Boiling Water Reactor}),[:DEVELOPED_BY],(:Organization {id: General Electric})
(:Nuclear reactor {id: Boiling Water Reactor}),[:MANUFACTURED_BY],(:Organization {id: Ge Hitachi Nuclear Energy})
(:Nuclear reactor {id: Boiling Water Reactor}),[:CONTAINS],(:Component {id: Reactor Pressure Vessel})
(:Nuclear reactor {id: Pressurized Water Reactor}),[:INSTANCE_OF],(:Nuclear reactor type {id: Light Water Nuclear Reactor})
(:Component {id: Reactor Pressure Vessel}),[:CONTAINS],(:Component {id: Nuclear Fuel Assemblies})
(:Facility {id: B Reactor}),[:LOCATED_AT],(:Location {id: Hanford Site})
(:Facility {id: B Reactor}),[:PART_OF],(:Project {id: Manhattan Project})
(:Facility {id: B Reactor}),[:DESIGNATED_AS],(:Designation {id: U.S. National Historic Landmark})
(:Facility {id: B Reactor}),[:RECOMMENDED_FOR],(:Park {id: Manhattan Project National Historical Park})
(:Facility {id: B Reactor}),[:RELATED_TO],(:Facility {id: D Reactor})
(:Facility {id: B Reactor}),[:RELATED_TO],(:Facility {id: F Reactor})
(:Location {id: Hanford Site}),[:NEAR],(:City {id: Richland})
(:City {id: Richland}),[:IN],(:State {id: Washington})
(:Project {id: Manhattan Project}),[:IN],(:Country {id: United States})
(:Project {id: Manhattan Project}),[:DURING],(:Event {id: World War Ii})
(:Organization {id: E. I. Du Pont De Nemours And Company}),[:BUILT],(:Facility {id: B Reactor})
(:Person {id: Enrico Fermi}),[:ASSOCIATED_WITH],(:Institution {id: University Of Chicago})
(:Facility {id: X-10 Graphite Reactor}),[:PART_OF],(:Institution {id: Oak Ridge National Laboratory})
(:Person {id: Chien-Shiung}),[:RESEARCHED],(:Material {id: Xe-135})